well filled | completely,banyi
vain | useless | worthless,banza
thin | lean fleshed,bapagi
straight,bara ye
begging | a retainer | a follower ,bara
boundless | of great size,bara
great quantity |used only in connection with cooked food,bara
loudly | fiercely,barabarayi
to converse | to chat,baza
darkness | blackness,bazhiko
swearing | a pledging | a boasting,bazhi
to shine | to reflect | always compounded with,ba
to hoe,ba
to wag | to wave | to cast (the eyes) around | to wriggle,ba
to be indented | to be crumpled | to be broken | to sag,ba
to sprain | to rick,ba
to hang | suspend,ba
steep bank of a river or pit,baba
cliff,babako
after (this time),bada bayici
"letter of the alphabet, or a word",baki
growth | maturing | filling out | puberty,bala ga
swarm | a mob | a noisy crowd | a hive,ba mbafu
town gate-keeper,bampaci
lover of finery | further | an immoral person | hence a prostitute | but applied to either sex,bamvogi
skeleton | book cover,bango
thomson's and senegalese gazelle,barewagi
saddleless | barebacked | further | alert | punctual,barije
rank among warriors,barizhe
verse in poetry,bati
to exceed | to be over,batu
european wool or yarn | all colours,bature
changing | a conversion | an alteration | hence repentance,bazhe
great | mighty | powerful,bazhini
mature bull,bazhini
to come | to result,be
to add to,be
again,be
to stare,be
to blow | to play | to sound a wind instrument,be
to resemble,be
to fart,be
to spread or stretch apart,be
tree species,beci
pineapple,bedaibo
first,bedzo
to smell sweet,beka
possibly,beke na
swelling breasts of a young girl,beko
small stubby banana,bekogi
to yield | to submit to | to stretch as rubber,bele
particle implying comparison as,bele
only | alone,bele
rank among the upper kyadya ,bele
very much | tremendously,belenyi
promiscuous man or woman | worse than bamvogi,bembelegi
some time ago,benai
apron | loincloth,bente
nupe sub-tribe,benu
rank among native princes,benu
with | from | by,benyi be nyi
to do (a thing) in addition to (something else),be re
only used with a negative and in an ironical sense ,be re
throat | voice,bere
distinctly | plainly | clearly,berebere
welcome | used elliptically | gently | carefully ,berenyi
squash or pumpkin quartered and cooked,beshe
really,beshi
to overflow,beya
to terrify | to brow beat | to bully,beye
to crumble | to crush,bi
ugly,bi
albino,biabia
ram,biabiandundungi
salutation for nagai,biandia
very (large) | denoting area,biawukoyi
valuable stone worn in a necklace,bibagi koro
local bagpipes (banfield),bibagi namfa
toy windmill made by children from a stick and folded leaf,bibi
beat or throb of the heart,bibinyi
grass ash,bibiri
saving,bibolugwa
amphisbaenid snake,biborwa
to run | flee | abscond.,bici
foot | leg,bici
stumbling,bicici
at once | immediately,bici eni
foot | prep | before | at the foot of,bicita
iron spike used as a locking lever by weavers,bida
chief of the bini tribe,Bida
black and white dappled (horse),bidi
very (large) | also bididiko,bididi
gun,bidinga
brain,bidzobidzo
to be weak,bifo
rectum,bigu
desire,biki
traditional funeral feast for the dead,biki
name given to the child of a woman who is unable to rear children - all die,biku
nupe tribal mark,biku
female goat,bikungi
salutation for a judg,bilahaki
  whip,bilala bulala
  to be of a bad or ugly character,bili
  raw,bimbiri
transverse clarinet made of a guinea-corn internode,binaku
"base, mean act | a dirty trick",binaku
drum made from a very large gourd,bindi
fire-arm of any description,bindiga
very large | black | evil smelling ant,bindigako
sandfly,bingi
small bottle-gourd,bingi
sweat-fly | tiny wild bee and the honey it makes,bini
eyelash,bini
loose joint - elbow or knee,bini
nupe sub-tribe,bini
child presented feet first at birth,bini
hot | applied to liquids,bipa
giddily | dizzily,biribiri
dimly,biribiri
brake (cycle or car),biriki
raft-zither made a grass with the epidermis lifted to make the strings,bisa
coarse swamp grass | formerly sold and used as tapers | used to make zana mats,bisa
truly,bisa
forest grass,bisabi
fish species,bisagi
fowl,bishe
black moorhen,bishegi nuwa
prairie hen,bishegi gonta
salutation for the rank nagai,bishi
to ruminate | to chew the   cud,bita
notched end of an arrow,bita
sharp pointed dagger,biti
to be ugly (in features) | buttocks | stock | base |  bottom | substance ,biye
stalk (of a leaf or fruit) ,biyegi
bare buttocks,biyeka
anus,biye lako
to graze (the skin) | to pick (a bone),bo
place,bo
to be tired | weary |exhausted | fatigued ,bo
to be under-cooked | under-done,bo
to save,bo
to kneed | to make | as porridge,bo
to become pulped,bo
to seize by force | to confiscate |   always used with eny� a thing,bo
interrogative particle | placed at the end of a question,bo
bother | worry | trouble,bobo
fish species,bobogi
wide (as a leaf),bobogi
tender (as opposed to tough),bobongi
very (white),bobonyi
smacking sound,bobonyi
doctor | a medicine man | salutation for all mallams,boci
charge | complaint | accusation,boda
very (large),bodabodanyi
